"Vidrà","Votos a candidaturas",116
"Vidrà","JxSí",88
"Vidrà","CUP",14
"Vidrà","CatSíqueesPot",5
"Vidrà","unio.cat",5
"Vidrà","PSC",3
"Vidrà","C's",1
"Vidrà","PP",0
"Vidrà","GANEMOS",0
"Vidrà","PACMA",0
"Vidrà","PIRATA.CAT/XDT",0
"Vidrà","RECORTES CERO-ELS VERDS",0
"Sales de Llierca","Total de votantes",77
"Sales de Llierca","Abstención",15
"Sales de Llierca","Votos nulos",0
"Sales de Llierca","Votos en blanco",0
"Sales de Llierca","Votos a candidaturas",77
"Sales de Llierca","JxSí",34
"Sales de Llierca","CUP",23
"Sales de Llierca","PSC",9
"Sales de Llierca","CatSíqueesPot",6
"Sales de Llierca","PP",4
"Sales de Llierca","unio.cat",1
"Sales de Llierca","C's",0
"Sales de Llierca","GANEMOS",0
"Sales de Llierca","PACMA",0
"Sales de Llierca","PIRATA.CAT/XDT",0
"Sales de Llierca","RECORTES CERO-ELS VERDS",0
"Vilassar de Dalt","Total de votantes",5700
"Vilassar de Dalt","Abstención",1160
"Vilassar de Dalt","Votos nulos",19
"Vilassar de Dalt","Votos en blanco",28
"Vilassar de Dalt","Votos a candidaturas",5653
"Vilassar de Dalt","JxSí",3127
"Vilassar de Dalt","C's",643
"Vilassar de Dalt","CUP",566
"Vilassar de Dalt","PSC",437
"Vilassar de Dalt","PP",389
"Vilassar de Dalt","CatSíqueesPot",287
"Vilassar de Dalt","unio.cat",171
"Vilassar de Dalt","PACMA",22
"Vilassar de Dalt","RECORTES CERO-ELS VERDS",11
"Baix Pallars","Total de votantes",244
"Baix Pallars","Abstención",44
"Baix Pallars","Votos nulos",0
"Baix Pallars","Votos en blanco",1
"Baix Pallars","Votos a candidaturas",243
"Baix Pallars","JxSí",140
"Baix Pallars","CUP",43
"Baix Pallars","PSC",25
"Baix Pallars","CatSíqueesPot",20
"Baix Pallars","C's",8
"Baix Pallars","unio.cat",4
"Baix Pallars","PP",3
"Baix Pallars","GANEMOS",0
"Baix Pallars","PACMA",0
"Baix Pallars","RECORTES CERO-ELS VERDS",0
"Àger","Total de votantes",403
"Àger","Abstención",81
"Àger","Votos nulos",5
"Àger","Votos en blanco",3
"Àger","Votos a candidaturas",395
"Àger","JxSí",271
"Àger","CUP",45
"Àger","PP",25
"Àger","C's",18
"Àger","PSC",14
"Àger","CatSíqueesPot",10
"Àger","unio.cat",9
"Àger","PACMA",2
"Àger","RECORTES CERO-ELS VERDS",1
"Àger","GANEMOS",0
"Òrrius","Total de votantes",461
"Òrrius","Abstención",72
"Òrrius","Votos nulos",2
"Òrrius","Votos en blanco",4
"Òrrius","Votos a candidaturas",455
"Òrrius","JxSí",292
"Òrrius","CUP",70
"Òrrius","C's",32
"Òrrius","CatSíqueesPot",19
"Òrrius","PSC",16
"Òrrius","PP",13
"Òrrius","unio.cat",11
"Òrrius","PACMA",2
