"Gallifa","Total votantes",136
"Gallifa","Abstención",12
"Gallifa","Votos nulos",0
"Gallifa","Votos en blanco",0
"Gallifa","Votos a Candidaturas",136
"Gallifa","JUNTSxCAT",63
"Gallifa","ERC-CatSí",33
"Gallifa","CUP",12
"Gallifa","CatComú-Podem",9
"Gallifa","C's",8
"Gallifa","PP",5
"Gallifa","PSC",4
"Gallifa","PACMA",2
"Gallifa","RECORTES CERO-GRUPO VERDE",0
"Gallifa","DIÀLEG (C. RETIRADA)",0
"Albesa","Total votantes",950
"Albesa","Abstención",148
"Albesa","Votos nulos",2
"Albesa","Votos en blanco",7
"Albesa","Votos a Candidaturas",941
"Albesa","JUNTSxCAT",434
"Albesa","ERC-CatSí",271
"Albesa","C's",89
"Albesa","PP",60
"Albesa","CUP",33
"Albesa","PSC",31
"Albesa","CatComú-Podem",18
"Albesa","PACMA",4
"Albesa","RECORTES CERO-GRUPO VERDE",1
"Albesa","PU M+J",0
"Albesa","DIÀLEG (C. RETIRADA)",0
"Barcelona - Eixample","Total votantes",151269
"Barcelona - Eixample","Abstención",30968
"Barcelona - Eixample","Votos nulos",353
"Barcelona - Eixample","Votos en blanco",566
"Barcelona - Eixample","Votos a Candidaturas",150350
"Barcelona - Eixample","JUNTSxCAT",38466
"Barcelona - Eixample","ERC-CatSí",32317
"Barcelona - Eixample","C's",30865
"Barcelona - Eixample","PSC",18940
"Barcelona - Eixample","CatComú-Podem",13132
"Barcelona - Eixample","CUP",8682
"Barcelona - Eixample","PP",6757
"Barcelona - Eixample","PACMA",932
"Barcelona - Eixample","RECORTES CERO-GRUPO VERDE",259
"Barcelona - Eixample","DIÀLEG (C. RETIRADA)",0
"Solivella","Total votantes",459
"Solivella","Abstención",55
"Solivella","Votos nulos",6
"Solivella","Votos en blanco",4
"Solivella","Votos a Candidaturas",449
"Solivella","JUNTSxCAT",219
"Solivella","ERC-CatSí",150
"Solivella","C's",23
"Solivella","CUP",22
"Solivella","PP",21
"Solivella","PSC",9
"Solivella","CatComú-Podem",4
"Solivella","PACMA",1
"Solivella","RECORTES CERO-GRUPO VERDE",0
"Solivella","DIÀLEG (C. RETIRADA)",0
"Sant Joan les Fonts","Total votantes",1948
"Sant Joan les Fonts","Abstención",323
"Sant Joan les Fonts","Votos nulos",8
"Sant Joan les Fonts","Votos en blanco",7
"Sant Joan les Fonts","Votos a Candidaturas",1933
"Sant Joan les Fonts","JUNTSxCAT",1025
"Sant Joan les Fonts","ERC-CatSí",421
"Sant Joan les Fonts","C's",185
"Sant Joan les Fonts","PSC",105
"Sant Joan les Fonts","CUP",94
"Sant Joan les Fonts","CatComú-Podem",59
"Sant Joan les Fonts","PP",37
"Sant Joan les Fonts","PACMA",4
"Sant Joan les Fonts","RECORTES CERO-GRUPO VERDE",2
"Sant Joan les Fonts","PU M+J",1
"Sant Joan les Fonts","DIÀLEG (C. RETIRADA)",0
"Artesa de Segre","Total votantes",1940
"Artesa de Segre","Abstención",388
"Artesa de Segre","Votos nulos",11
"Artesa de Segre","Votos en blanco",9
"Artesa de Segre","Votos a Candidaturas",1920
"Artesa de Segre","JUNTSxCAT",846
"Artesa de Segre","ERC-CatSí",599
"Artesa de Segre","C's",201
"Artesa de Segre","CUP",91
"Artesa de Segre","PP",73
"Artesa de Segre","PSC",70
"Artesa de Segre","CatComú-Podem",27
"Artesa de Segre","PACMA",8
"Artesa de Segre","PU M+J",3
"Artesa de Segre","RECORTES CERO-GRUPO VERDE",2
"Artesa de Segre","DIÀLEG (C. RETIRADA)",0
"Alamús, els","Total votantes",486
"Alamús, els","Abstención",83
"Alamús, els","Votos nulos",5
"Alamús, els","Votos en blanco",3
"Alamús, els","Votos a Candidaturas",478
"Alamús, els","JUNTSxCAT",200
"Alamús, els","ERC-CatSí",138
"Alamús, els","C's",57
"Alamús, els","PSC",34
"Alamús, els","CatComú-Podem",20
"Alamús, els","CUP",17
"Alamús, els","PP",11
"Alamús, els","PU M+J",1
"Alamús, els","PACMA",0
"Alamús, els","RECORTES CERO-GRUPO VERDE",0
"Alamús, els","DIÀLEG (C. RETIRADA)",0
"Soriguera","Total votantes",262
"Soriguera","Abstención",62
"Soriguera","Votos nulos",2
"Soriguera","Votos en blanco",1
"Soriguera","Votos a Candidaturas",259
"Soriguera","ERC-CatSí",76
"Soriguera","CUP",69
"Soriguera","JUNTSxCAT",68
"Soriguera","PSC",16
"Soriguera","C's",15
"Soriguera","CatComú-Podem",10
"Soriguera","PP",3
"Soriguera","RECORTES CERO-GRUPO VERDE",2
"Soriguera","PU M+J",0
"Soriguera","PACMA",0
"Soriguera","DIÀLEG (C. RETIRADA)",0
"Arbolí","Total votantes",92
"Arbolí","Abstención",10
"Arbolí","Votos nulos",0
"Arbolí","Votos en blanco",1
"Arbolí","Votos a Candidaturas",91
"Arbolí","ERC-CatSí",38
"Arbolí","JUNTSxCAT",37
"Arbolí","CUP",11
"Arbolí","CatComú-Podem",3
"Arbolí","C's",1
"Arbolí","PSC",1
"Arbolí","PP",0
"Arbolí","PACMA",0
"Arbolí","RECORTES CERO-GRUPO VERDE",0
"Arbolí","DIÀLEG (C. RETIRADA)",0
"Vinebre","Total votantes",260
"Vinebre","Abstención",35
"Vinebre","Votos nulos",3
"Vinebre","Votos en blanco",2
"Vinebre","Votos a Candidaturas",255
"Vinebre","JUNTSxCAT",103
"Vinebre","ERC-CatSí",73
